phase FPC1 FPC2 FPC3 FPC4 mean
-3.2 0.009337999999999999 0.068552 0.14425100000000002 0.016533000000000003 0.013837999999999996
-3.1 0.009244 0.064042 0.13667200000000002 0.016824000000000002 0.012075000000000002
-3.0 0.009106000000000001 0.060047 0.129525 0.016724000000000003 0.010311
-2.9 0.008947 0.056325 0.122611 0.016415 0.008548
-2.8 0.008787 0.052603 0.115696 0.016106000000000002 0.006783999999999998
-2.7 0.008586000000000002 0.049382 0.109206 0.015413999999999999 0.005213999999999996
-2.6 0.008359999999999998 0.046448 0.10295599999999999 0.014505 0.004161000000000005
-2.5 0.008136000000000001 0.043511999999999995 0.096706 0.013595000000000001 0.0031069999999999987
-2.4 0.007869999999999999 0.041067 0.09087 0.012312 0.0020540000000000003
-2.3 0.007580999999999999 0.038918 0.085285 0.010802 0.0009999999999999974
-2.2 0.007291 0.03677 0.079701 0.009291999999999998 -5.3999999999998494e-05
-2.1 0.006971000000000001 0.035049 0.074508 0.007479999999999999 -0.0009879999999999993
-2.0 0.0066300000000000005 0.033604 0.069571 0.0054730000000000004 -0.0014790000000000011
-1.9 0.006289 0.032159 0.064632 0.0034660000000000003 -0.0019699999999999995
-1.8 0.005973000000000001 0.030813 0.06000900000000001 0.0015609999999999999 -0.0024610000000000014
-1.7 0.005674 0.029533999999999998 0.055599 -0.00027199999999999967 -0.0029530000000000008
-1.6 0.005375 0.028254 0.05119 -0.0021060000000000002 -0.003443
-1.5 0.00511 0.027009 0.047074000000000005 -0.003762999999999999 -0.003896
-1.4 0.0048709999999999995 0.025788 0.043171 -0.0052899999999999996 -0.004129000000000001
-1.3 0.004631000000000001 0.024567 0.039269 -0.006816999999999999 -0.0043619999999999996
-1.2 0.004425 0.023379 0.03565 -0.008173 -0.004593999999999999
-1.1 0.004245 0.022216 0.032254 -0.009394 -0.004827
-1.0 0.004066 0.021054 0.028857 -0.010614 -0.005059999999999999
-0.9 0.0039180000000000005 0.019923 0.025737000000000003 -0.011666999999999999 -0.005269
-0.8 0.0037979999999999997 0.018819 0.022845 -0.012580999999999998 -0.005253
-0.7 0.003678 0.017715 0.019955 -0.013495 -0.005235999999999999
-0.6 0.003589 0.016641 0.017333 -0.014246000000000002 -0.005221
-0.5 0.003529 0.015595000000000001 0.014949 -0.014854 -0.005204
-0.4 0.0034690000000000003 0.01455 0.012563000000000001 -0.015462 -0.005187000000000001
-0.3 0.003439 0.013534000000000001 0.010440000000000001 -0.015910999999999998 -0.005162999999999999
-0.2 0.0034389999999999998 0.012546 0.00856 -0.016212 -0.0048980000000000004
-0.1 0.003437 0.011558 0.006682 -0.016513 -0.004633
0.0 0.0034660000000000003 0.0106 0.005057 -0.01666 -0.0043679999999999995
0.1 0.003526 0.00967 0.003684 -0.016654000000000002 -0.004103000000000001
0.2 0.003585 0.008741 0.0023109999999999997 -0.016648000000000003 -0.0038369999999999997
0.3 0.003672 0.007841 0.0011840000000000002 -0.016494 -0.0035720000000000005
0.4 0.003791 0.00697 0.0003159999999999999 -0.016182 -0.0030660000000000006
0.5 0.00391 0.006099 -0.0005499999999999997 -0.015870000000000002 -0.0025509999999999994
0.6 0.004057 0.005255 -0.0011780000000000002 -0.015413000000000001 -0.0020369999999999997
0.7 0.004235 0.004442 -0.0015389999999999996 -0.014794 -0.001522
0.8 0.004413 0.00363 -0.0019010000000000003 -0.014175 -0.0010079999999999993
0.9 0.004619 0.0028439999999999997 -0.0020300000000000006 -0.013417 -0.0004929999999999995
1.0 0.004857 0.0020889999999999997 -0.0018870000000000002 -0.012492 0.0002470000000000007
1.1 0.005095 0.0013350000000000002 -0.001742 -0.011566 0.0010100000000000005
1.2 0.00536 0.0006059999999999998 -0.001373 -0.010505 0.0017739999999999995
1.3 0.005657 -8.99999999999998e-05 -0.000722 -0.009273 0.0025369999999999993
1.4 0.005955 -0.0007860000000000002 -7.200000000000002e-05 -0.008041 0.0033009999999999984
1.5 0.006278 -0.001456999999999999 0.0007950000000000001 -0.006679000000000001 0.004063999999999998
1.6 0.006635 -0.0020949999999999996 0.001951 -0.005140999999999999 0.005033000000000001
1.7 0.006993 -0.002733000000000001 0.003108 -0.0036019999999999993 0.006038999999999999
1.8 0.007374 -0.0033439999999999998 0.004465 -0.0019400000000000008 0.007044000000000002
