phase FPC1 FPC2 FPC3 FPC4 mean
-4.6 0.004841999999999996 -0.055049 0.336886 -0.040775000000000006 0.049557000000000004
-4.5 0.0048920000000000005 -0.052733 0.32321500000000003 -0.039304 0.046808000000000016
-4.4 0.004934999999999998 -0.05045299999999999 0.309793 -0.037864999999999996 0.044302999999999995
-4.3 0.004976999999999999 -0.048172999999999994 0.296371 -0.036427 0.041799
-4.2 0.0049999999999999975 -0.04598699999999999 0.28360399999999997 -0.035074 0.03929300000000001
-4.1 0.005014000000000001 -0.043841000000000005 0.2711 -0.033754 0.036789
-4.0 0.005028999999999999 -0.041694 0.25859699999999997 -0.032434000000000004 0.034283999999999995
-3.9 0.005023 -0.03964 0.24673499999999998 -0.031198 0.031955
-3.8 0.0050089999999999996 -0.03762599999999999 0.235149 -0.029997000000000003 0.029898999999999995
-3.7 0.004994000000000002 -0.035611 0.223563 -0.028795 0.027842000000000006
-3.6 0.004961 -0.033687999999999996 0.212605 -0.027675 0.025785000000000002
-3.5 0.004918000000000002 -0.031808 0.201937 -0.026593000000000002 0.023728000000000006
-3.4 0.004875000000000001 -0.029926 0.19127 -0.02551 0.021670999999999996
-3.3 0.004813000000000001 -0.028134000000000006 0.18121500000000001 -0.024507 0.019763999999999997
-3.2 0.004742 -0.026386 0.171466 -0.023542999999999998 0.018153999999999997
-3.1 0.0046710000000000015 -0.024638 0.161716 -0.022579 0.016546000000000005
-3.0 0.004581000000000002 -0.022977000000000004 0.152565 -0.021692 0.014936999999999999
-2.9 0.004481000000000001 -0.021362 0.143735 -0.020847 0.013329
-2.8 0.0043809999999999995 -0.019746 0.134903 -0.020000999999999998 0.011719
-2.7 0.004263000000000001 -0.018216 0.126658 -0.019230999999999998 0.010232999999999999
-2.6 0.004133999999999999 -0.016734000000000002 0.11874399999999999 -0.018503999999999996 0.009072000000000004
-2.5 0.004005999999999999 -0.015252000000000002 0.110831 -0.017777999999999995 0.007910999999999998
-2.4 0.003859999999999999 -0.013852 0.103488 -0.017123999999999997 0.0067510000000000035
-2.3 0.0037029999999999997 -0.012503 0.096493 -0.016517 0.005589
-2.2 0.0035460000000000005 -0.011153 0.089498 -0.015908 0.004428000000000001
-2.1 0.003377 -0.009884 0.083036 -0.015361000000000001 0.0033490000000000013
-2.0 0.003198000000000001 -0.008666999999999998 0.076921 -0.014852999999999998 0.002575000000000001
-1.9 0.00302 -0.007448 0.070804 -0.014346000000000001 0.0017999999999999995
-1.8 0.0028580000000000003 -0.006302 0.065058 -0.013829999999999999 0.0010249999999999981
-1.7 0.0027069999999999993 -0.0052049999999999996 0.05956500000000001 -0.013306999999999998 0.00024999999999999675
-1.6 0.002555 -0.004107999999999999 0.054071999999999995 -0.012785000000000001 -0.0005239999999999984
